dates,volume,high,market-cap,close,open,low
20170213,100607000.0,1002.1,16141500000.0,990.64,998.88,976.0
20170212,67530000.0,1004.76,16214700000.0,999.18,1003.52,996.92
20170211,102261000.0,1009.29,15976700000.0,1004.45,988.9,982.83
20170210,190452000.0,998.9,16083600000.0,988.67,995.63,946.69
20170219,77423300.0,1056.81,17056600000.0,1047.87,1054.76,1043.46
20170218,99073500.0,1061.1,16964800000.0,1054.42,1049.21,1046.96
20170506,582530000.0,1578.8,25395600000.0,1578.8,1556.81,1542.5
20140311,11732500.0,638.42,7848450000.0,634.11,627.95,618.84
20170509,1167920000.0,1833.49,28132200000.0,1755.36,1723.89,1716.3
20170508,1340320000.0,1723.35,26056500000.0,1723.35,1596.92,1596.92
20140310,20639800.0,644.76,7950820000.0,627.79,636.33,615.02
20170503,583796000.0,1492.77,23707100000.0,1490.09,1453.78,1447.49
20170502,477338000.0,1473.9,23170200000.0,1452.82,1421.03,1415.69
20170501,713624000.0,1434.32,21981800000.0,1421.6,1348.3,1348.3
20170507,1080030000.0,1596.72,25768500000.0,1596.71,1579.47,1559.76
20160629,142456000.0,644.68,10119600000.0,639.89,644.12,628.28
20170505,946036000.0,1618.03,25133100000.0,1555.45,1540.87,1530.31
20170504,933549000.0,1608.91,24311900000.0,1537.67,1490.72,1490.72
20171119,3149320000.0,8101.91,1.29595e+11,8036.49,7766.03,7694.1
20150906,25473700.0,242.91,3424420000.0,239.84,234.87,234.68
20171113,6263250000.0,6811.19,99029000000.0,6559.49,5938.25,5844.29
20150901,20575200.0,231.22,3352760000.0,228.12,230.26,226.86
20171111,4908680000.0,6873.15,1.10362e+11,6357.6,6618.61,6204.22
20171110,5208250000.0,7312.0,1.19607e+11,6618.14,7173.73,6436.87
20171117,4651670000.0,8004.59,1.31026e+11,7708.99,7853.57,7561.09
20171116,5123810000.0,7967.38,1.22164e+11,7871.69,7323.24,7176.58
20171115,4200880000.0,7342.25,1.10667e+11,7315.54,6634.76,6634.76
20130818,0,114.69,1304320000.0,113.5,112.75,112.0
20140317,14648200.0,632.68,7901040000.0,622.37,630.92,616.86
20140316,5277290.0,637.52,7968200000.0,631.11,636.5,628.11
20160623,253462000.0,629.33,9373190000.0,623.98,597.44,558.14
20150318,57008000.0,285.34,3977030000.0,256.3,285.07,249.87
20150319,52732000.0,264.24,3570820000.0,260.93,255.88,248.64
20130814,0,115.0,1265450000.0,112.56,109.56,108.0
20150314,22612300.0,286.34,3964470000.0,281.88,284.44,280.98
20150315,11970100.0,286.53,3923350000.0,286.39,281.43,281.0
